playername,patch,CurrentSkill,PC1,PC2,PC3,PC4
Fisher,14.14,46.18935881859352,2.495438074879118,-0.7221910211276017,-1.4411336991248114,-1.134085336640524
Fisher,14.19,46.0749623756667,3.0822772249124197,-3.499190201553716,0.8075660100715186,-1.6960113437289204
Quad,15.21,46.01029123981239,1.7884498054843263,-2.6338533937441726,1.319978927714749,0.2599430831458467
Scout,16.02,45.86860568349402,1.715895048708417,2.775909913852057,-4.032591995766112,-0.9725937553589848
Karis,15.02,45.516029004634746,-0.2551361035333646,2.090770312538043,-1.2957294906527344,2.395698265017717
Roamer,16.07,45.45356375597174,-0.2666962499566953,2.1879355459242884,-1.120201541550497,1.9412553181471357
SeTab,15.23,45.341270270448376,-0.7476003792682373,1.909633767676628,0.0223967578921525,2.199621323233097
Bdd,15.16,44.99790955748253,1.81982976613342,-0.2021843032921955,-2.762248375049957,1.5121863967210685
Zeka,14.12,44.817110419229834,0.7212931158500544,-0.1866740282619604,0.2898693062387747,0.2734307002148718
Pullbae,16.06,44.75670178007828,1.0126511447816662,2.129287151657389,-2.480950201302565,-0.589365013354751
Scout,16.04,44.476719066628206,2.025988553245691,0.2747099124274941,-2.261978246468896,-1.178101377557527
SeTab,15.21,44.46951456001067,-1.6861859300462574,1.4788824219480918,2.416893242564445,1.815670568380849
FATE,14.17,44.464684915221966,-0.1573450125944899,0.1213154990387773,0.7032269914016075,1.8052963111101408
kyeahoo,15.02,44.42687540445613,-0.0484737526164503,-1.025409039639745,2.4036500987350657,0.8148266931348752
Bdd,16.06,44.411712813209334,0.3712718705887685,0.3968029594511691,0.4061266714192936,-0.0489145843952132
ShowMaker,16.07,44.25624527870093,1.0751159130166132,0.4808355634425177,-1.353185402244479,0.0884051426570014
Bdd,15.14,43.96422385935853,0.7301805749174816,-2.444368433639064,1.4184525936491117,2.007194677997464
Bdd,16.02,43.95392698249919,1.680095898064415,-0.5587300940542105,-1.0712383575149709,-0.7121117901925523
Fisher,15.21,43.599202913352556,-0.2659876188114734,-0.2795241802739189,0.5322045842504891,2.605814571664608
Bdd,16.04,43.590603785588506,0.784989443368265,-1.211386219180587,1.448407816265788,-0.7063549096460084
Bdd,15.03,43.52268402625579,0.4975584821354673,-2.0266532151522583,1.429734178266934,1.7304596322426309
Chovy,15.07,43.46829077750847,0.527706960952426,1.0904408160824457,-1.1685362864006648,0.0292704817456003
Loki,16.01,43.368136405206485,0.4061459621285543,1.5680700825746186,-0.6091077526609676,-1.3729373358517514
Ucal,14.13,43.19236242128479,1.9090095867828176,-2.498688413699275,0.5087711646657699,-0.9507605583602744
Chovy,15.06,43.11181495893733,0.5384895573672945,1.1474781584346,-1.5821628834559829,0.308681569050719
Pullbae,16.08,43.02910826204992,1.3886406101972082,-1.3881797421066853,-0.9920351069522276,1.051682602676892
Faker,16.09,42.95431359030191,-0.3178668532527163,1.9701988829007788,-0.8031962016107388,0.3820735411569262
Calix,16.01,42.90000851178662,0.8640882373636124,0.8221705093320044,-0.9043910919155088,-1.4078023772678905
Ucal,16.05,42.77530936500377,0.555556958777196,-0.223934566297323,0.153370226037222,-0.2134221093221775
Ucal,15.08,42.66133048338362,-0.3620047436310351,-0.4923664338866299,1.7722999137173023,0.7523300299097697
Zeka,16.04,42.44313178318182,0.857047339538003,1.0975698768363384,-0.8140294562396907,-2.323743248835012
kyeahoo,15.17,42.30191210243301,0.5228573792724907,-2.5449352746349216,3.5881147239721605,-1.6098792677072031
Bdd,16.05,41.90850588469928,0.1380957482483418,0.3439804093027722,-0.7933244652014774,1.0944935008574894
kyeahoo,15.16,41.84231770083833,0.3797021008761618,-0.937968830442932,0.8579759413625027,-0.0405803842203306
Scout,15.19,41.79366918602199,1.6608632649500643,-2.5579242036311527,0.2538400472330134,-0.5135345950224437
Scout,16.06,41.7905017898643,0.4485351559566491,0.3576579489547703,0.2626771466899564,-1.7206464812815006
Calix,16.08,41.73919758472984,0.3200463639719305,0.8708849050703078,-0.0460385451765063,-1.7645967105207716
Loki,16.04,41.68819928092228,0.6355639919069574,2.086051287644913,-3.335735728228823,0.1121590024199719
Karis,16.05,41.63430597842503,-0.5463792687586564,1.693821170963489,1.1847618904857615,-2.3350573355498736
Ucal,16.01,41.60267720147032,0.9183474516679644,-0.4405004793208005,-0.7828461995249193,-0.3363552474899983
kyeahoo,15.22,41.564070723621846,-1.8128025822126077,-0.2576742385274707,4.889699030385975,-0.3926720639678748
Bdd,14.17,41.435682419707256,-0.2504255260838885,-0.9246810017202496,0.6009212832847763,2.20645615358234
Roamer,16.04,41.39727222212267,-0.5520788251502756,1.3477462637321356,0.7329283966769776,-1.1303411352901456
Fisher,16.01,41.370365377776814,0.269615516204949,2.010118152510968,-1.1327197885094669,-2.1899053239384
Ucal,16.03,41.215184189446525,0.2868522883098937,0.2587380354179276,0.1018933311668482,-1.1157888753170304
ShowMaker,14.14,41.06737296263789,1.8082320985561924,-3.251312861835064,0.6989192259832246,-0.927821454344316
Karis,15.21,41.02486194822546,-1.0051803347055046,-1.4514272442909424,3.698039760427827,0.5683963222430489
Karis,15.15,40.95199331040487,-0.9933549591283212,0.9772059541685504,-0.6131269078990281,2.864932430652336
Quad,16.06,40.8692771657192,-2.6246896464326164,2.9304201490191475,0.6994477788468975,2.7157791006459213
ShowMaker,16.05,40.86326400938957,0.666651255319287,-0.4853879131388531,-0.353213844467557,-0.562120639269617
Chovy,15.05,40.766592730235864,-0.6356723921782289,0.6616372298114543,0.8108010931885298,-0.1359715749528188
Karis,16.03,40.737928684525215,-1.704576316683149,2.4342826733047964,2.856836079936138,-2.979794402660023
SeTab,15.19,40.64479619781078,-1.5628764030499545,0.2994648342919442,2.529060972940703,0.8709417714473904
Zeka,16.09,40.47051445905865,-0.0651840899860863,0.4581246471060613,1.027285164911719,-2.229920900975114
Fisher,15.17,40.44745306584203,-1.2963461812786248,0.4327930695463379,1.3820410031786965,1.4059548967487678
Fisher,15.16,40.42592430021762,0.4052922572739444,-2.496716876590501,1.54790159445333,0.6922059777495513
FATE,14.19,40.33322055183775,1.3644064504953786,-1.6882320480615485,-1.5240463468909846,0.7601773310244244
VicLa,16.07,40.1918697442199,1.347736864246071,-0.6687340436289306,-2.895091922236998,1.0341315301272525
