playername,teamname,position,patch,patch_major,patch_minor,match_count,low_sample_flag,pca_group,PC1,PC2,PC3,PC4,PC5,PC6
Faker,T1,mid,14.13,14,13,11,0,mid,0.9574983194569203,-0.6445982384241593,1.331537676019591,-0.4503351242288866,-0.23029150041240193,-0.12708765565909247
Fisher,Nongshim RedForce,mid,14.13,14,13,6,0,mid,-2.30359929488027,-0.5235375069980029,-0.5449998312089159,0.5521756616677072,0.31029809267318076,0.2674234877309068
Karis,HANJIN BRION,mid,14.13,14,13,4,0,mid,1.1077689544794613,0.40404243364835574,0.05071524443598243,-0.8631524263378221,-0.5053271987319974,-0.0017519917108034767
Pullbae,HANJIN BRION,mid,14.13,14,13,3,0,mid,-4.765178456871717,-0.04570315613533362,-0.055290780941876186,0.5029464166918869,-1.1920994043922564,0.44668095990288675
ShowMaker,Dplus Kia,mid,14.13,14,13,9,0,mid,0.6210880433932457,0.3238588355864564,0.5257343377289061,-0.22665052105070863,0.2627746071181908,-0.09338695934775038
Zeka,Hanwha Life Esports,mid,14.13,14,13,9,0,mid,1.649208795867134,0.44911999552636633,0.05505262537422716,0.5467510914171844,0.04459052982581993,-0.13674676991141357
kyeahoo,DRX,mid,14.13,14,13,8,0,mid,0.04609093556373475,-0.006965699268072835,0.7239805519218617,-0.10299504137966095,0.32433760838578896,-0.09649999409282133
Bdd,KT Rolster,mid,14.14,14,14,11,0,mid,1.9072312059318295,-1.183011731655859,1.1023416069591745,0.1796231582195959,-0.19758194407460525,0.032835508675810116
BuLLDoG,DN SOOPers,mid,14.14,14,14,9,0,mid,-2.837724803894626,-0.2954710452082387,1.5036636477082463,-0.03882400772350901,-0.3811585321784568,0.2856450807865028
Calix,Nongshim RedForce,mid,14.14,14,14,4,0,mid,-2.4339805688791123,0.17773182404003043,-0.20039248583886207,-0.3681360527515635,-0.566172222924408,-0.36080224306807557
Chovy,Gen.G,mid,14.14,14,14,8,0,mid,3.8038471101065086,-1.348169698322482,1.6974315169593912,0.3894326031136597,0.10280354932376295,0.4928574506747172
Clozer,BNK FEARX,mid,14.14,14,14,8,0,mid,0.4665761552488842,0.4675740336107838,-0.28325027977389694,-0.14538556761726673,-0.8284015495746537,-0.31201165458095137
FATE,HANJIN BRION,mid,14.14,14,14,8,0,mid,-1.0900131090914753,-0.5754166977260562,0.04970649750748105,-0.7429185104403206,0.002391736088863897,-0.4009163753209581
Faker,T1,mid,14.14,14,14,10,0,mid,0.026946803819106975,-0.5298424092920055,-0.3439395891613617,0.4061902514659628,-0.21225540288094366,0.3222708651534639
Fisher,Nongshim RedForce,mid,14.14,14,14,5,0,mid,0.7378408617781974,-0.3662964321557381,-0.02525153891943178,0.5093877145928984,-0.1584004275949232,0.07247581183423499
ShowMaker,Dplus Kia,mid,14.14,14,14,11,0,mid,-0.8603369493934889,-0.34609435732174326,-0.7596435834031929,-0.7102330821314548,-0.5285342286731546,-0.11942869165012823
Zeka,Hanwha Life Esports,mid,14.14,14,14,10,0,mid,0.8675922529583054,-0.21528236712219698,0.5402808667317401,0.5530114382004603,-0.4645532840942938,-0.19985001939102814
kyeahoo,DRX,mid,14.14,14,14,8,0,mid,-3.0411916599802478,0.20775006699423443,0.07396773379634843,0.4510202473161599,-0.03593048194762014,-0.00818135501920471
Bdd,KT Rolster,mid,14.15,14,15,9,0,mid,1.3860622344675888,-0.15701564426206963,0.7974679882054113,0.2385724247207144,-0.33629895484559796,0.013311334457198806
BuLLDoG,DN SOOPers,mid,14.15,14,15,11,0,mid,-1.1309957715506438,0.24607288842752437,0.4874959910725569,-0.3184070110585898,0.39313792681919785,0.08015559173167221
Chovy,Gen.G,mid,14.15,14,15,9,0,mid,1.6925159325716859,-0.22688034667435023,1.3522891264354264,0.1682578247336855,-0.9799041518927932,-0.20367936063492495
