playername,position,puuid,match_id
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8184212480
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8184174811
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8184143269
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8184099421
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8183089330
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8183067125
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8183035662
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8183006063
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8182954724
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8182897161
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8182475070
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8177115595
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8177053680
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8176990435
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8174565396
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8174535184
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8174468875
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8173483798
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8173460852
Canyon,jng,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA,KR_8173435041
